1.00,24,51,24.00,78808.81,2070.14
2.00,24,52,24.23,78806.23,2070.41
3.00,24,54,24.44,78815.44,2069.47
4.00,24,55,24.59,78805.09,2070.52
5.00,24,56,24.71,78803.93,2070.67
6.00,24,57,24.79,78803.16,2070.72
7.00,24,57,24.84,78804.81,2070.55
8.01,24,58,24.85,78807.50,2070.28
9.01,24,58,24.84,78803.20,2070.72
10.01,24,58,24.83,78808.81,2070.14
11.01,24,58,24.81,78804.70,2070.56
12.01,24,58,24.81,78804.39,2070.59
13.01,24,58,24.80,78804.57,2070.58
14.01,24,58,24.79,78802.99,2070.74
15.01,24,57,24.80,78804.57,2070.61
16.01,24,57,24.81,78804.87,2070.80
17.01,24,57,24.80,78804.25,2070.61
18.01,24,57,24.79,78805.87,2070.44
19.01,24,56,24.79,78807.15,2070.31
20.01,24,56,24.78,78806.04,2070.43
21.01,24,56,24.78,78800.94,2070.95
22.02,24,55,24.79,78805.55,2070.48
23.02,24,55,24.78,78800.92,2070.95
24.02,24,54,24.78,78802.20,2070.82
25.02,24,54,24.79,78804.43,2070.59
26.02,24,54,24.78,78802.84,2070.64
27.02,24,53,24.79,78802.52,2070.78
28.02,24,53,24.80,78810.64,2069.96
29.02,24,53,24.79,78805.06,2070.53
30.02,24,52,24.80,78803.61,2070.67
31.02,24,52,24.80,78804.57,2070.58
32.02,24,52,24.80,78804.73,2070.56
33.02,24,51,24.81,78802.80,2070.76
34.03,24,51,24.80,78802.48,2070.79
35.03,24,51,24.81,78805.03,2070.53
36.03,24,51,24.82,78803.23,2070.71
37.03,24,50,24.83,78805.81,2070.45
38.03,24,50,24.82,78798.45,2071.20
39.03,24,50,24.84,78802.09,2070.83
40.03,24,50,24.83,78801.30,2070.91
41.03,24,49,24.84,78803.52,2070.68
42.03,24,49,24.84,78804.48,2070.59
43.03,24,49,24.85,78802.06,2070.83
44.03,24,49,24.85,78799.19,2071.13
45.03,24,49,24.86,78803.00,2070.74
46.03,24,48,24.86,78803.64,2070.67
47.03,24,48,24.86,78801.72,2070.87
48.03,24,48,24.87,78804.11,2070.62
49.03,24,48,24.87,78804.42,2070.59
50.04,24,48,24.87,78800.42,2071.00
51.04,24,48,24.88,78800.09,2071.03
52.04,24,48,24.88,78800.08,2071.03
53.04,24,48,24.89,78803.28,2070.71
54.04,24,47,24.90,78801.67,2070.87
55.04,24,47,24.90,78801.51,2070.89
56.04,24,47,24.90,78801.97,2070.84
57.04,24,47,24.90,78804.70,2070.56
58.04,24,47,24.91,78802.75,2070.88
59.04,24,47,24.91,78807.38,2070.29
60.04,24,47,24.92,78804.80,2070.55
61.04,24,47,24.93,78805.42,2070.49
62.04,24,47,24.93,78803.66,2070.67
63.04,24,47,24.93,78803.50,2070.68
64.04,24,47,24.94,78802.85,2070.75
65.05,24,47,24.94,78803.32,2070.70
66.05,24,46,24.94,78803.48,2070.69
67.05,24,46,24.94,78803.96,2070.64
